17:23:40.543 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d2a66245] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:41:15.175 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6f63c07d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:41:15.423 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8700 (http)
17:41:15.434 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8700"]
17:41:15.447 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:41:15.447 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
17:41:15.582 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:41:15.583 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1218 ms
17:41:15.762 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
17:41:15.762 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:41:15.771 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@160b4809
17:41:17.502 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
17:41:17.686 [main] INFO  c.s.j.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
17:41:17.751 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
17:41:17.752 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
17:41:17.850 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
17:41:17.851 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
17:41:18.142 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
17:41:18.142 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:41:18.283 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
17:41:20.014 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
17:41:20.071 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
17:41:20.095 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
17:41:20.095 [main] INFO  com.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
17:41:20.101 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1568194880100 with initial instances count: 0
17:41:20.136 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initializing ...
17:41:20.137 [main] WARN  com.netflix.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
17:41:20.151 [main] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
17:41:20.152 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initialized
17:41:20.159 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
17:41:20.236 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application EUREKA-SERVER with eureka with status UP
17:41:20.238 [Thread-31] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Setting the eureka configuration..
17:41:20.240 [Thread-31] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
17:41:20.241 [Thread-31] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
17:41:20.255 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8700"]
17:41:20.255 [Thread-31] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
17:41:20.256 [Thread-31] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
17:41:20.256 [Thread-31] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
17:41:20.256 [Thread-31] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
17:41:20.256 [Thread-31] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
17:41:20.268 [Thread-31] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
17:41:20.284 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8700 (http) with context path ''
17:41:20.285 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8700
17:41:20.286 [main] INFO  cn.ztuo.cloud.EurekaServerApplication - Started EurekaServerApplication in 10.004 seconds (JVM running for 11.393)
